"harmonised_name","ihs2_name","ihs3_name","ihs4_name","ihs5_name","label","module","topic","needs_review","n_rounds"
"ag_b15b_os","","ag_b15b_os","","","...saved for seed?(UNIT)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b15c","","ag_b15c","","","...saved for seed?(S/U)","f31","agriculture_crops",FALSE,4
"ag_b16a","","ag_b16a","","","...lost to rotting,insects,rodents,theft,etc in post-harvest period?(QUANT)","f31","agriculture_crops",FALSE,4
"ag_b16b_os","","ag_b16b_os","","","...lost to rotting,insects,rodents,theft,etc in post-harvest period?(UNIT)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b17a_os","","ag_b17a_os","","","What was the reason for loss?(1st)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b17b_os","","ag_b17b_os","","","What was the reason for loss?(2nd)(O/S)","f31","agriculture_crops",FALSE,4
"ag_b18","","ag_b18","","","Do you have any of the harvested [CROP] in storage now?","f31","agriculture_crops",FALSE,4
"ag_b19","","ag_b19","","","What is your main method of storage for this crop?","f31","agriculture_crops",FALSE,4
"ag_b19_os","","ag_b19_os","","","What is your main method of storage for this crop?(Other Specify)","f31","agriculture_crops",FALSE,4
"ag_b203","","","ag_b203","","How did your household acquire this garden ([GARDEN])?","f35","agriculture_land",FALSE,4
"ag_b203_oth","","","ag_b203_oth","","Please specify other way your household acquired this garden (%rostertitle%)","f35","agriculture_land",FALSE,4
"ag_b204_1","","","ag_b204_1","","Does your HH currently have a title or ownership document for this [GARDEN]?","f35","agriculture_land",FALSE,4
"ag_b204_1oth","","","ag_b204_1oth","","Please, specify Other title or ownership document for this %rostertitle%","f35","agriculture_land",FALSE,4
"ag_b204_2a_1","","","ag_b204_2a_1","","ENUMERATOR: WAS RESPONDENT ABLE TO PROVIDE DOCUMENTATION?","f35","agriculture_land",FALSE,4
"ag_b204_2a__0","","","ag_b204_2a__0","","Who in HH is listed on the title/ownership doc. of [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_2a__1","","","ag_b204_2a__1","","Who in HH is listed on the title/ownership doc. of [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_2a__2","","","ag_b204_2a__2","","Who in HH is listed on the title/ownership doc. of [GARDEN]? (#ID 3)","f35","agriculture_land",FALSE,4
"ag_b204_2a__3","","","ag_b204_2a__3","","Who in HH is listed on the title/ownership doc. of [GARDEN]? (#ID 4)","f35","agriculture_land",FALSE,4
"ag_b204_2b__0","","","ag_b204_2b__0","","Who outside HH is listed on title/ownership document of [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_2b__1","","","ag_b204_2b__1","","Who outside HH is listed on title/ownership document of [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_2filter","","","ag_b204_2filter","","Is there anyone OUTSIDE of this household who is listed on ownership doc","f35","agriculture_land",FALSE,4
"ag_b204_3","","","ag_b204_3","","..HH currently have an informal doc that certifies your ownership rights to this","f35","agriculture_land",FALSE,4
"ag_b204_3_1","","","ag_b204_3_1","","ENUMERATOR: WAS RESPONDENT ABLE TO PROVIDE DOCUMENTATION?","f35","agriculture_land",FALSE,4
"ag_b204_3_oth","","","ag_b204_3_oth","","Please, specify the other informal document that certifies your ownership rights","f35","agriculture_land",FALSE,4
"ag_b204_4a__0","","","ag_b204_4a__0","","..HH is listed on this informal document as owner of this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_4a__1","","","ag_b204_4a__1","","..HH is listed on this informal document as owner of this [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_4a__2","","","ag_b204_4a__2","","..HH is listed on this informal document as owner of this [GARDEN]? (#ID 3)","f35","agriculture_land",FALSE,4
"ag_b204_4a__3","","","ag_b204_4a__3","","Wh..HH is listed on this informal document as owner of this [GARDEN]? (#ID 4)","f35","agriculture_land",FALSE,4
"ag_b204_4b__0","","","ag_b204_4b__0","","..HH is listed on this informal document as owner of this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_4b__1","","","ag_b204_4b__1","","..HH is listed on this informal document as owner of this [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_4b_filter","","","ag_b204_4b_filter","","..anyone OUTSIDE the HH listed on this informal doc. as owner of this [GARDEN]?","f35","agriculture_land",FALSE,4
"ag_b204_5","","","ag_b204_5","","Does anyone in the household have the right to sell this [GARDEN]","f35","agriculture_land",FALSE,4
"ag_b204_6a__0","","","ag_b204_6a__0","","Who in HH can decide whether to sell this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_6a__1","","","ag_b204_6a__1","","Who in HH can decide whether to sell this [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_6a__2","","","ag_b204_6a__2","","Who in HH can decide whether to sell this [GARDEN]? (#ID 3)","f35","agriculture_land",FALSE,4
"ag_b204_6a__3","","","ag_b204_6a__3","","Who in HH can decide whether to sell this [GARDEN]? (#ID 4)","f35","agriculture_land",FALSE,4
"ag_b204_6b__0","","","ag_b204_6b__0","","Who outside HH can decide whether to sell this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_6b__1","","","ag_b204_6b__1","","Who outside HH can decide whether to sell this [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_6b_filter","","","ag_b204_6b_filter","","B_2_04_6filter. Is there anyone <u>OUTSIDE the household</u> who can decide whet","f35","agriculture_land",FALSE,4
"ag_b204_7","","","ag_b204_7","","Does anyone have the right to bequeath this [GARDEN]?","f35","agriculture_land",FALSE,4
"ag_b204_8a__0","","","ag_b204_8a__0","","Who in HH can decide whether to bequeath this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_8a__1","","","ag_b204_8a__1","","Who in HH can decide whether to bequeath this [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204_8a__2","","","ag_b204_8a__2","","Who in HH can decide whether to bequeath this [GARDEN]? (#ID 3)","f35","agriculture_land",FALSE,4
"ag_b204_8a__3","","","ag_b204_8a__3","","Who in HH can decide whether to bequeath this [GARDEN]? (#ID 4)","f35","agriculture_land",FALSE,4
"ag_b204_8b__0","","","ag_b204_8b__0","","Who outside HH can decide whether to bequeath this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_8b__1","","","ag_b204_8b__1","","Who outside HH can decide whether to bequeath this [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204_8filter","","","ag_b204_8filter","","s there anyone OUTSIDE the household who can decide whether to bequeauth","f35","agriculture_land",FALSE,4
"ag_b204_9","","","ag_b204_9","","..ever been concerned that somebody might dispute your ownership of[GARDEN]?","f35","agriculture_land",FALSE,4
"ag_b204a__0","","","ag_b204a__0","","Who in this household owns [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204a__1","","","ag_b204a__1","","Who in this household owns [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
"ag_b204a__2","","","ag_b204a__2","","Who in this household owns [GARDEN]? (#ID 3)","f35","agriculture_land",FALSE,4
"ag_b204a__3","","","ag_b204a__3","","Who in this household owns [GARDEN]? (#ID 4)","f35","agriculture_land",FALSE,4
"ag_b204b__0","","","ag_b204b__0","","Who outside this household owns [GARDEN]? (#ID 1)","f35","agriculture_land",FALSE,4
"ag_b204b__1","","","ag_b204b__1","","Who outside this household owns [GARDEN]? (#ID 2)","f35","agriculture_land",FALSE,4
